id,session_id,search_keyword,posts_found,users_found,comments_found,status,notes,started_at,finished_at
1,43941f8f-dccd-4091-a53c-0211ef1911d1,保险,2,2,6,completed,成功采集2个保险相关帖子，包含6条用户评论,2026-03-09 14:34:45.344295+00:00,2026-03-09 14:41:16.417085+00:00
2,3d35f59e-013b-4fce-9f6e-067125f79e48,香港保险,0,0,0,completed,LOGIN_REQUIRED - 浏览器未登录状态，无法访问搜索结果,2026-03-09 16:10:23.995681+00:00,2026-03-09 16:21:36.849760+00:00
3,aa89a3ee-3cb3-4524-8863-6de31c1360ce,香港保险,0,0,0,completed,LOGIN_REQUIRED - 浏览器未登录状态，无法访问搜索结果,2026-03-09 16:12:57.856960+00:00,2026-03-09 16:21:36.849760+00:00
4,9aab1ff3-ceba-408c-a449-398ae0d95a7b,重疾险怎么选,1,1,0,completed,页面交互受限，仅从搜索结果页保存 1 条帖子摘要,2026-03-09 16:25:37.679913+00:00,2026-03-09 16:29:13.713153+00:00
5,7989d7dd-f700-46cd-b1fa-5eeed1c35b9a,移民保险,3,3,0,completed,页面交互受限，从搜索结果页保存 3 条帖子和 3 个用户,2026-03-09 16:30:25.535696+00:00,2026-03-09 16:32:15.352431+00:00
6,b0d26691-f3ca-4a57-b1ac-e0eafde42d2f,医疗险推荐,4,4,0,completed,详情页点击受限，从搜索结果页保存 4 条帖子和 4 个用户,2026-03-09 16:49:32.942132+00:00,2026-03-09 16:51:16.453322+00:00
7,9cad4f5f-02e2-48ea-9fd7-59f24425f642,储蓄险,4,4,0,completed,详情页点击受限，从搜索结果页保存 4 条帖子和 4 个用户,2026-03-09 17:09:30.167661+00:00,2026-03-09 17:11:20.751072+00:00
8,d34953f8-06b0-4001-9fb1-58cdc9ad3664,结婚买保险,4,4,0,completed,详情页点击受限，从搜索结果页保存 4 条帖子和 4 个用户,2026-03-09 17:29:29.838590+00:00,2026-03-09 17:31:24.146176+00:00
9,ddae854f-bffe-4009-a5b8-b9a94ef08285,资产配置香港,3,3,0,completed,详情页点击受限，从搜索结果页保存 3 条帖子和 3 个用户,2026-03-09 17:49:33.125034+00:00,2026-03-09 17:51:22.042858+00:00
10,b40c5425-0673-4995-a50b-e1a707039499,养老规划,4,4,0,completed,详情页点击受限，从搜索结果页保存 4 条帖子和 4 个用户,2026-03-09 18:11:02.318583+00:00,2026-03-09 18:13:53.096964+00:00
11,19e6682c-13d7-4b46-b513-c1215aec8da0,保险规划求助,4,4,0,completed,详情页点击受限，从搜索结果页保存 4 条帖子和 4 个用户,2026-03-09 18:29:37.526074+00:00,2026-03-09 18:31:16.708327+00:00
12,ea084ce9-8bfa-4f84-86b3-3602f5df38f3,重疾险香港,4,4,0,completed,详情页点击受限，从搜索结果页保存 4 条帖子和 4 个用户,2026-03-09 18:49:29.499897+00:00,2026-03-09 18:52:35.310038+00:00
